doc_id,sentence_id,sentence_text,sentence_category,verbatim_label,verbatim_labels,annotator_count,annotators,source_annotation_count,alignment_type,source_html,source_annotation_file
DB_1,DB_1_S21,We may process data about your use of our Services (“usage data”).,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S22,"The usage data may include your IP address, geographical location, browser type and version, operating system, referral source, length of visit, page views and Site navigation paths, as well as information about the timing, frequency and pattern of your Services usage.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S23,The source of the usage data is our analytics tracking system.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S25,"The legal basis for this processing is your consent or our legitimate interests, namely monitoring and improving our Services.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,2,ra2;ra3,8,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S27,Account Data.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S28,We may process your account data (“account data”).,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S29,The account data may include your name and email address.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S30,The source of the account data is you.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S32,"The legal basis for this processing is your consent or our legitimate interests, namely monitoring and improving our Services.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,2,ra2;ra3,8,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S34,Profile Data.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S35,We may process your information included in your personal profile on our Site (“profile data”).,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S36,"The profile data may include your name, address, telephone number, email address, profile pictures, and company-related information.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S38,"The legal basis for this processing is your consent or our legitimate interests, namely monitoring and improving our Services.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,2,ra2;ra3,8,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S40,Transaction Data.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S41,"We may process information relating to transactions, including purchases of Services, that you enter into with us and through the Services (“transaction data”).",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S42,"The transaction data may include first and last names, an email address to be used as a login, billing contact information, credit card number and a password.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S44,"The legal basis for this processing is the performance of a contract between you and us and taking steps, at your request, to enter into such a contract and our legitimate interests.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S46,Correspondence Data.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S47,We may process information contained in or relating to any communication that you send to us (“correspondence data”).,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S48,The correspondence data may include the communication content and metadata associated with the communication.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S49,Our Services will generate the metadata associated with communications made using the Site contact forms.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S51,"The legal basis for this processing is your consent or our legitimate interests, namely monitoring and improving our Services.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,2,ra2;ra3,8,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S53,Network Information.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S54,We may process information related to your network information (“network information”).,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S55,"The network information may include analytics information, cookies, log file information, and device identifiers; such as different third-party web analytics tools, web requests, IP address, browser type, referring / exit pages and URLs, number of clicks, how you interact with links on the Service, domain names, landing pages, pages viewed, universally unique identifier, and other related information.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S57,"The legal basis for this processing is your consent or our legitimate interests, namely monitoring and improving our Service.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S88,Publicly Available.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,1,ra1,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S89,Publicly available information from government records.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,1,ra1,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S94,"We use Deidentified Information or Aggregate Information to troubleshoot, administer the services, analyze trends, gather demographic information, comply with applicable law, and cooperate with law enforcement activities.",single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,1,ra1,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S95,We may share this information with the public and other third parties to measure the overall effectiveness of our Services.,single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,1,ra1,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S97,Excluded Information.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,1,ra1,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S98,Certain laws require separate privacy notices or are exempt from general Personal Data privacy policy disclosure requirements.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,1,ra1,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S99,Such laws include the Fair Credit Reporting Act (FCRA).,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,1,ra1,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S101,USE OF PERSONAL DATA,single_label,Others,Others,1,ra2,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S122,"exercise or defend any legal claims, whether in court proceedings or in an administrative or out-of-court procedure.",single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,1,ra3,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S125,SHARING OF PERSONAL DATA,single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,2,ra2;ra3,2,annotation_in_sentence;sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S126,"In addition to the specific situations discussed elsewhere in this Privacy Policy, Lead411 may share your Personal Data in the following circumstances:",single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,2,ra2;ra3,2,annotation_in_sentence;sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S127,3.1 Change of Control.,single_label,Categories of Personal Information Sold,Categories of Personal Information Sold,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S131,3.2 Legal Compliance.,single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S132,"Lead411 will disclose your Personal Data where required to do so by law or subpoena or if we reasonably believe that such action is necessary to (a) comply with the law and the reasonable requests of law enforcement; (b) to enforce our Terms or to protect the security, quality or integrity of our Services; or (c) to exercise or protect the rights, property, or personal safety of Lead411, our Users, or others.",single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S133,"We may also disclose your Personal Data where such disclosure is necessary for the establishment, exercise or defense of legal claims, whether in court proceedings or in an administrative or out-of-court procedure.",single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S134,3.3 Third Party Providers.,single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S135,"We may disclose your Personal Data to one or more of those selected third-party providers of products or services on or linked from our Site, identified on our Site for the purpose of enabling them to provide you with products or Services.",single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S136,3.4 Behavioral-Based Advertising.,single_label,Categories of Personal Information Collected,Categories of Personal Information Collected,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S140,3.5 Partner or Client Offerings.,single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S141,"We may jointly offer events, promotions, or any other product or service offerings with third party partners or our clients.",single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S142,The Personal Data that you submit through our Services may be combined and transmitted with the profile data related to your account.,single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S143,"Third party partners or clients may collect information directly from you, which may be combined with Personal Data disclosed by us.",single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S144,"If you decide to use our Services that are identified as a joint effort with a third party partner or client, the information that you provide may be shared with us and with that identified third party.",single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S145,3.6 Social Networking.,single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S148,"For more information about the purpose and scope of data collection and use in connection with such social networking site or a site’s integrated tools, please visit the privacy policies of the entities that provide these social networking sites.",single_label,Categories of Personal Information Shared / Disclosed,Categories of Personal Information Shared / Disclosed,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S150,SECURITY OF PERSONAL DATA,single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S152,Security Measures.,single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S153,We are committed to taking reasonable precautions to safeguard the security of your Personal Data.,single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S154,"We use reasonable administrative, technical, and physical security steps to protect your Personal Data.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S155,Please be aware that no data transmission over the Internet or via e-mail is completely secure and therefore we cannot guarantee protection of all Personal Data in all cases.,single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S156,"For example, we cannot guarantee protection against interception, misappropriation, misuse, or alteration, or that your Personal Data will not be disclosed or accessed by the unauthorized acts of others.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S157,"Consequently, we cannot ensure or warrant the security of any Personal Data you transmit to us, and you do so at your own risk.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S158,"In the event that we are required by law to inform you of any unauthorized access or acquisition of your Personal Data we may notify you electronically, in writing, or by telephone, if permitted to do so by law.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S160,Storage and Processing.,single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S161,"Your Personal Data collected through the Services may be stored and processed in the United States or any other country in which Lead411 or its subsidiaries, affiliates, or service providers maintain facilities.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S163,"If you are located in the European Union or other regions with laws governing data collection and use that may differ from U.S. law, please note that we may transfer information, including Personal Data, to a country and jurisdiction that does not have the same data protection laws as your jurisdiction, and you consent to the transfer of information to the U.S. or any other country in which Lead411 or its parent, subsidiaries, affiliates, or service providers maintain facilities and the use and disclosure of information about you as described in this Privacy Policy.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S165,Keeping your Personal Data Safe.,single_label,Description of Right to Know PI Collected,Description of Right to Know PI Collected,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S166,"In the event you are provided with an opportunity to establish and account or profile on our Services, you may be able to access your Personal Data with your password and username.",single_label,Description of Right to Know PI Collected,Description of Right to Know PI Collected,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S167,This password is encrypted.,single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S168,We advise against sharing your password with anyone.,single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S169,"If you access your account via a third-party site or service, you may have additional or different sign-in protections via that third-party site or service.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S170,"You need to prevent unauthorized access to your account and Personal Data by selecting and protecting your password and/or other sign-in mechanism appropriately and limiting access to your computer, browser, or mobile device by signing off after you have finished accessing your account.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S171,"Unauthorized entry or use, hardware or software failure, and other factors, may compromise the security of Personal Data at any time.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S172,"If we believe that the security of your Personal Data may have been compromised, we may seek to notify you of that development.",single_label,Others,Others,1,ra2,1,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S174,YOUR CHOICES,single_label,Methods to exercise rights,Methods to exercise rights,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S177,Access to Your Personal Data.,single_label,Description of Right to Know PI Collected,Description of Right to Know PI Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S178,You may request access to your Personal Data by contacting us as described below.,single_label,Description of Right to Know PI Collected,Description of Right to Know PI Collected,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S179,We will grant you reasonable access to the data that we have about you as required by law.,single_label,Description of Right to Know PI Collected,Description of Right to Know PI Collected,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S181,Changes to Your Personal Data.,single_label,Description of Right to Correct Information,Description of Right to Correct Information,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S182,We rely on you to update and correct the Personal Data contained in your account.,single_label,Description of Right to Correct Information,Description of Right to Correct Information,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S183,We make every reasonable effort to promptly process all unsubscribe requests.,single_label,Description of Right to Correct Information,Description of Right to Correct Information,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S184,Note that we may keep historical information in our backup files as permitted by law.,single_label,Description of Right to Correct Information,Description of Right to Correct Information,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S187,Deletion of Your Personal Data.,single_label,Description of Right to Delete,Description of Right to Delete,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S188,"Following termination of your User account, Lead411 may retain your Personal Data for a commercially reasonable time for backup, archival, or audit purposes.",single_label,Description of Right to Delete,Description of Right to Delete,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S189,"For the avoidance of doubt, any Personal Data that you choose to make public on the Service may not be removable.",single_label,Description of Right to Delete,Description of Right to Delete,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S191,"We will grant a request to delete information as required by law, but you should note that in many situations we must keep your Personal Data to comply with our legal obligations, resolve disputes, enforce our agreements, or for another one of our business purposes.",single_label,Description of Right to Delete,Description of Right to Delete,3,ra1;ra2;ra3,3,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S192,"Except as provided above, we will delete, aggregate, or de-identify all of your Personal Data as described in this subsection within the timeframes required by law.",single_label,Description of Right to Delete,Description of Right to Delete,2,ra2;ra3,2,sentence_in_annotation_paragraph,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
DB_1,DB_1_S195,You can make the following choices to opt out of certain activities regarding your Personal Data:,single_label,Description of Right to Opt-out of sale of PI,Description of Right to Opt-out of sale of PI,1,ra1,1,annotation_in_sentence,C3PA_Dataset/Htmls/DB/1.html,C3PA_Dataset/Annotations/DB/1.csv
